event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,split,original
PersonX doesn't want any guests.,"[""none""]",[],"[""to walk away from the door"", ""to get into their car"", ""to back out of the driveway"", ""to drive away"", ""none""]","[""antisocial"", ""introverted"", ""distant"", ""unsociable""]","[""like to be alone"", ""not willing to hospitalist"", ""be alone"", ""go out""]",[],"[""to turn off all the lights in the house"", ""to not answer his phone"", ""to not answer the door bell"", ""none""]",[],"[""to get ready for bed"", ""to fall asleep"", ""to have alone time"", ""to get some sleep""]",tst,PersonX wants PersonY to come
PersonX does not know PersonY brother,"[""none""]",[],"[""none""]","[""unsure"", ""unfamiliar"", ""unknowledgeable"", ""isolated""]","[""so x want to talk with y"", ""go with movie"", ""none""]",[],"[""none""]",[],"[""to meet PersonY's brother"", ""to avoid PersonY's brother"", ""to meet others"", ""to continue on with life""]",tst,PersonX sees PersonY brother
PersonX doesn't make contact,"[""gets insulted"", ""is forgotten"", ""none""]",[],"[""none""]","[""lonely"", ""isolated"", ""unfriendly"", ""reticent"", ""shy""]","[""gets forgotten"", ""is ignored"", ""is unaware of what's going on with his friends"", ""is waiting for someone to call back""]",[],"[""none""]",[],"[""remain a recluse"", ""reach out"", ""to be stay away"", ""to be alone""]",tst,PersonX makes contact
PersonX doesn't really know PersonX,"[""none""]","[""none""]","[""none""]","[""uninformed"", ""undiscerning"", ""unsure"", ""trying to explore themselves""]","[""is sent to a hospital"", ""gets left alone"", ""Has trouble expressing themselves"", ""Struggles to find what they want to do""]","[""none""]","[""he dont known any thing"", ""he innocent"", ""none""]","[""alone"", ""isolated"", ""confused in life"", ""disoriented"", ""depressed"", ""sad"", ""ashamed"", ""determined to know them"", ""insecure"", ""like they need to live more to find out about themself"", ""alone"", ""isolated"", ""confused in life"", ""disoriented""]","[""he shocked"", ""do his work"", ""get moe details"", ""get to know"", ""to consult doctor"", ""take medicine""]",tst,PersonX comes into PersonX's own
PersonX doesn't want to learn how to sew,"[""none""]",[],"[""none""]","[""stubborn"", ""idle"", ""prideful""]","[""gain knowledge about sewing"", ""groan"", ""none""]",[],"[""none""]",[],"[""Not sew"", ""Not learn"", ""to have someone else sew"", ""to learn how to knit""]",tst,PersonX wants to learn how to sew
PersonX did not need,"[""none""]","[""none""]","[""none""]","[""confident"", ""independent"", ""content"", ""positive""]","[""none"", ""shows negative feelings"", ""can not concentrate""]","[""to get rid of excess things"", ""to do things alone"", ""to be prepared"", ""to not have to need"", ""none""]","[""none""]","[""relieved"", ""proud"", ""accomplished"", ""prepared"", ""like nothing happened"", ""like they were prepared""]","[""he need no goods or bads"", ""no plan to live"", ""stay home"", ""stay free"", ""to do lot of things"", ""to hang with some work""]",tst,PersonX desperately needed
PersonX does not care that much,"[""none""]",[],"[""none""]","[""disinterested"", ""unamused"", ""sad"", ""unmotivated""]","[""go to bed"", ""go to the bar"", ""none""]",[],"[""none""]",[],"[""to do something else"", ""to take a shower"", ""to move on"", ""to focus on their own problems""]",tst,PersonX starts to worry
PersonX does not believe in PersonY,"[""is shunned"", ""gets told to be quiet"", ""none""]","[""insecure"", ""sad"", ""disconnected"", ""let down by their friend"", ""like they are going to do their best""]","[""to ask why PersonX feels this way"", ""to improve from feedback that is given"", ""none""]","[""untrusting"", ""doubtful"", ""distrustful"", ""suspicious""]","[""gets talked to more"", ""is asked questions"", ""not trustworthy"", ""doesn't trust""]","[""none"", ""to not be fooled"", ""to be independent""]","[""to decide to tell them their reasoning"", ""to tell them them the reasons why"", ""person cheat him"", ""they affect in mind"", ""none""]","[""annoyed"", ""manipulative"", ""cautious"", ""anxious"", ""like personY isn't the best choice"", ""like personY won't do well""]","[""to work on increasing their belief"", ""to help them"", ""tack about the problem"", ""solve they positive way"", ""to be alone"", ""to buy foods"", ""to stay home"", ""to avoid him""]",tst,PersonX believes also in PersonY
PersonX is polite and does not interrupt,"[""none"", ""respected"", ""complimented""]",[],"[""to ask PersonX if they have questions"", ""to keep talking"", ""none""]","[""unobtrusive"", ""quiet"", ""respectful"", ""compassionate""]","[""gets praised"", ""gets new friends"", ""respected"", ""complimented""]",[],"[""to listen politely"", ""to approach someone"", ""none""]",[],"[""to wait their turn"", ""to talk"", ""people to praise them"", ""to get acknowledged""]",tst,PersonX talks out of turn
PersonX doesn't answer the call.,"[""is ignored"", ""is avoided"", ""gets ignored by X"", ""gets dismissed by X""]",[],"[""someone to help them"", ""to find assistance"", ""none""]","[""standoffish"", ""worried"", ""lazy"", ""preoccupied""]","[""gets called repeatedly"", ""gets a letter in the mail"", ""hands shake from nerves"", ""sweats from anxiety""]",[],"[""to receive the call"", ""to see an opportunity to help"", ""none""]",[],"[""to blend in with the crowd"", ""to hide"", ""busy"", ""talk later""]",tst,PersonX gets a call
PersonX didn't get the part,"[""none""]",[],"[""none""]","[""ashamed"", ""dissapointed"", ""unlucky"", ""untalented""]","[""loses money"", ""gets evicted"", ""gets angry"", ""gets sympathy from friend"", ""calms down""]",[],"[""to practice for the part"", ""to try out for the part"", ""to try out"", ""to attend a casting call""]",[],"[""to practice harder for the part"", ""to retake the test"", ""to try out for another part"", ""to act well""]",tst,PersonX gets the part
PersonX really can't stand PersonY,"[""none""]",[],"[""to find out why X is hostile toward them"", ""to get x to like them"", ""none""]","[""disgusted"", ""hostile"", ""unaccepting"", ""loathing""]","[""none"", ""to go alone"", ""break the relationship""]",[],"[""none""]",[],"[""to avoid Y"", ""to complain about Y to others"", ""to tell her to move out"", ""to beat her""]",tst,PersonX really love PersonY
PersonX doesn't drink alcohol,"[""none""]",[],"[""none""]","[""sober"", ""healthy"", ""clean""]","[""Invited out to bar with friends"", ""Offered to be bought a drink"", ""they avoid being roofied"", ""they can drive home safely""]",[],"[""to be a good person"", ""to hate drinking alcohol"", ""none""]",[],"[""to take care of person x's health"", ""to stay fit"", ""to do something else"", ""to be negative""]",tst,PersonX gets a beer
PersonX can't find anything,"[""none""]",[],"[""none""]","[""uninquisitive"", ""unmotivated"", ""absent-minded"", ""worried""]","[""frowns"", ""sighs"", ""none""]",[],"[""none""]",[],"[""to search all over the things"", ""to be more fun"", ""to sleep"", ""to be safe""]",tst,PersonX finds another
PersonX doesn't resemble PersonY,"[""Person y have more experience than person x"", ""person y is a smart worker"", ""becomes nervous that person x could of lied"", ""runns fast out of restaurant in flight or fight mode""]",[],"[""none""]","[""forgetful"", ""absentminded"", ""unfamiliar"", ""unique""]","[""Person x is not suit for this job"", ""Person y is a good worker"", ""none""]",[],"[""none""]",[],"[""get a makeover"", ""imitate them"", ""to be unique"", ""to be good""]",tst,PersonX looks like PersonY
PersonX can't read,"[""none""]",[],"[""none""]","[""dyslexic"", ""farsighted"", ""blind"", ""uneducated"", ""illiterate""]","[""to study well"", ""develop new skills"", ""gets looked down on"", ""gets help with various texts""]",[],"[""want to read"", ""get the book"", ""none""]",[],"[""feel very bad"", ""move towards the point"", ""literacy"", ""to understand""]",tst,PersonX reads PersonX's diary
PersonX doesn't touch PersonY.,"[""thinks person x doesn't like them"", ""becomes worried about person x"", ""none""]","[""happy"", ""friendly"", ""neglected"", ""ignored"", ""unattractive"", ""unloved""]","[""none""]","[""timid"", ""shy"", ""respectful"", ""decent""]","[""none""]","[""to respect person y"", ""to gain person y favor"", ""to be respectful"", ""to avoid them"", ""to be alone"", ""not to catch germs from PersonY""]","[""to eat"", ""to read books"", ""none"", ""want hug him"", ""but he had flu""]","[""respectful"", ""happy"", ""avoidant"", ""safe"", ""lonely"", ""unloved""]","[""to clean the room"", ""to wash the clothes"", ""scared of"", ""angry"", ""to be careful and be awareness"", ""to way from him""]",tst,PersonX arches PersonY's back
PersonX doesn't tune PersonX's guitar,"[""none""]",[],"[""none""]","[""absentminded"", ""forgetful"", ""incompetent"", ""lacking""]","[""lets the guitar rust"", ""misses practice"", ""Plays bad music"", ""Upsets the crowd""]",[],"[""to purchase a guitar"", ""to find a guitar"", ""to know how to tune a guitar"", ""to have a guitar tuning tool""]",[],"[""to set down their guitar"", ""to have someone else tune their guitar"", ""to play the guitar"", ""to sing""]",tst,PersonX tunes PersonX's guitar
PersonX does not throw the ball.,"[""none""]",[],"[""to say hello"", ""to invite Person X to dinner"", ""to say goodbye"", ""to get the ball"", ""to run the bases""]","[""calculative"", ""tactical"", ""unathletic"", ""rude""]","[""Scolded by coach"", ""Told to throw the ball"", ""Cut from the team"", ""holds ball"", ""puts arm down""]",[],"[""to search in the garage for a ball"", ""to pick up the ball"", ""to grab the ball"", ""pick up the ball""]",[],"[""to answer his cell phone"", ""to put down the ball"", ""to speak with his friend"", ""to throw the ball"", ""to put it down""]",tst,PersonX throws the ball
PersonX is not in PersonX's office.,"[""none""]",[],"[""none""]","[""alone"", ""tired"", ""tardy"", ""lazy""]","[""Chokes during lunch"", ""sees life flash before eyes"", ""gets scolded by their boss"", ""survives the arson""]",[],"[""none""]",[],"[""to do nothing"", ""to be unmotivated""]",tst,PersonX enters PersonX's office
PersonX announces that PersonY is not guilty,"[""thanked"", ""appreciated"", ""smiles"", ""jumps for joy""]",[],"[""Stay clean"", ""Be clean"", ""none""]","[""Brave"", ""Courageous"", ""judicious"", ""absolvent""]","[""proud"", ""shake their hands"", ""gets thanked"", ""gets hugged""]",[],"[""none"", ""to collect evidence"", ""to decide to defend Person Y""]",[],"[""Announce it"", ""Tell people"", ""to find who really is guilty"", ""to solve another crimw""]",tst,PersonX sentences PersonY
PersonX does not like touching wood,"[""none""]",[],"[""none""]","[""particular"", ""sensitive"", ""timid"", ""soft""]","[""none"", ""avoids wood"", ""doesn't touch""]",[],"[""plan to meet person"", ""none""]",[],"[""to wood"", ""wood at it"", ""to avoid touching wood"", ""to stay away from wood""]",tst,PersonX touches wood
PersonX doesn't pay attention.,"[""none""]","[""none""]","[""none""]","[""diverted"", ""scatter-brained"", ""lackadaiscal"", ""rude""]","[""gets in trouble"", ""misses something"", ""they are swatted with a ruler"", ""they get bad grades""]","[""none"", ""to focus on other things"", ""be distracted""]","[""none"", ""prepare his mind focus"", ""clear his mind of any distractions"", ""Grab his phone"", ""Think about what to eat""]","[""distracted"", ""unaware"", ""relaxed"", ""calm"", ""unaffected"", ""disappointed""]","[""tell and pay attention"", ""give a punishmant"", ""get a book to not every details"", ""be focused"", ""refocus on the task he was doing"", ""Concentrate on the what is happening around him""]",tst,PersonX covers every aspect
PersonX doesn't let PersonY join the team,"[""none""]",[],"[""to try out again"", ""to improve enough to join the team"", ""none""]","[""exclusive"", ""unfriendly"", ""picky"", ""mean"", ""uncaring"", ""angry""]","[""another person to join"", ""to avoid the disturbance"", ""shows negative feelings"", ""tries to compensate""]",[],"[""none""]",[],"[""to keep the team as they are"", ""to keep Y out"", ""to avoid"", ""to play alone""]",tst,PersonX lets PersonY on the team
PersonX does not practice their craft at all.,"[""none""]",[],"[""none""]","[""lazy"", ""unmotivated"", ""bored""]","[""Fails their craft examination"", ""Falls out of interest with the craft"", ""looses out on jobs"", ""forgets their skill"", ""becomes unable to pay bills""]",[],"[""none""]",[],"[""to try new things"", ""to give up"", ""get better at their job"", ""improve themselves""]",tst,PersonX practices hard every day
PersonX doesn't miss PersonY a lot,"[""person y loves person x"", ""person y want to meet person x"", ""none""]",[],"[""to try to understand why PersonX is asking for space"", ""to try to get along without PersonX"", ""to be missed"", ""find new friends""]","[""independent"", ""heartless"", ""unthoughtful"", ""uncaring""]","[""person x  hates person y"", ""person x miss person y"", ""person x is not missing lot when compare with person y"", ""smiles"", ""thinks about food""]",[],"[""to have been around PersonY too much"", ""to have been getting tired of PersonY"", ""be away from personY"", ""know personY""]",[],"[""to ask for some space from PersonY"", ""to see if they are meant to be together"", ""stay away from personY"", ""find new friends""]",tst,PersonX misses PersonY a lot
