event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,split,original,neg_cue,neg_cue_type
PersonX stops providing PersonY education,"[""does not advance"", ""stays dumb"", ""learns to be self reliant"", ""becomes grateful in time""]","[""none"", ""hopeless"", ""jilted""]","[""pay for their own school"", ""get a scholarship"", ""none""]","[""spiteful"", ""hateful"", ""broke"", ""unappreciated""]","[""is in trouble"", ""is complained"", ""has extra money to spend"", ""yelled at""]","[""none"", ""more time to themselves"", ""to let someone more dedicated take over""]","[""take responsibility for personY's education"", ""decide to stop educating prersonY"", ""to go to college"", ""to buy books""]","[""guilty"", ""sad"", ""warranted"", ""reasonable""]","[""encourage personY to be more responsible"", ""save money"", ""to go to bed"", ""to read a book""]",trn,PersonX provides PersonY education,stop,verb
PersonX discontinues making PersonX's dream come true,"[""none""]","[""none""]","[""to find another manager"", ""to find more success"", ""none""]","[""lazy"", ""finished"", ""unmotivated""]","[""none"", ""shunned"", ""goes into debt""]","[""none"", ""more free time"", ""to stop daydreaming""]","[""to stop pandering to another person"", ""to stop backing another person"", ""to have a dream"", ""to work towards their dream""]","[""busy"", ""tired"", ""sad"", ""disappointed""]","[""find another form of employment"", ""to get away from show business"", ""to deal with some personal issue"", ""to help their family""]",trn,PersonX makes PersonX's dream come true,discontinue,verb
PersonX barely serves PersonY right,"[""none"", ""tries to improve personX"", ""fires personX""]","[""mad"", ""furious"", ""none""]","[""none""]","[""rude"", ""mean"", ""unskilled"", ""unintelligent""]","[""none""]","[""none""]","[""have known person y"", ""been a horrible person"", ""none""]","[""unsure"", ""lost"", ""guilty"", ""stupid""]","[""appologize to person y"", ""do them wrong again"", ""to be counted"", ""to go home""]",trn,PersonX serves PersonY right,barely,single_word
PersonX lacks a panic attack,"[""none""]","[""none""]","[""none""]","[""calm"", ""level headed"", ""get a room""]","[""stresses he may have a panic attack"", ""thinks he is lucky for not having a panic attack"", ""takes a deep breathe"", ""releases air""]","[""none"", ""to get a plan""]","[""to meditate"", ""to call friends"", ""none""]","[""composed"", ""invincible"", ""to get a plan"", ""to attack""]","[""to go home"", ""to do yoga"", ""to continue with the presentation"", ""to get on the plane""]",trn,PersonX has a panic attack,lack,verb
PersonX discontinues getting a job offer,"[""none""]","[""none""]","[""none""]","[""lazy"", ""shiftless"", ""untrustworthy"", ""slow""]","[""gets in depression"", ""cries"", ""none""]","[""to keep the current position"", ""to wait for a higher salary"", ""none""]","[""none"", ""to have received an offer"", ""spoke to a recruiter""]","[""excited about future prospects"", ""nervous about the choice they made"", ""rejected"", ""defeated"", ""like giving it another try""]","[""find out why the offer was refused to them"", ""submit another job offer with a new company"", ""to work for another company"", ""to keep searching for a job""]",trn,PersonX gets a job offer,discontinue,verb
PersonX ceases giving PersonY a tour,"[""gives thanks to person x"", ""becomes grateful"", ""us left standing alone"", ""face looks confused""]","[""fulfilled"", ""happy"", ""entertained"", ""thirsty"", ""disappointed"", ""unsatisfied""]","[""none""]","[""tired"", ""bored"", ""lazy""]","[""gets thanked"", ""raises hands"", ""stomps away"", ""sits down to rest""]","[""to rest"", ""to eat"", ""to go home"", ""to use the restroom"", ""to attend to urgent business"", ""so to the bathroom""]","[""none""]","[""tired"", ""hungry"", ""satisfied"", ""successful"", ""rushed"", ""stressed""]","[""go home"", ""be busy"", ""to punish their rudeness"", ""be alone""]",trn,PersonX gives PersonY a tour,cease,verb
PersonX is seldomly working on PersonY's car,"[""needs their car fixed"", ""has a lot of problems with their car"", ""none""]","[""none"", ""annoyed"", ""impatient""]","[""to thank PersonX for their work"", ""to get PersonX some beer for their help"", ""none""]","[""lazy"", ""dishonest"", ""laggard"", ""delayed""]","[""none"", ""gets reprimanded"", ""gets fired""]","[""none"", ""to work on something else"", ""to procrastinate""]","[""none"", ""to be experienced at mechanics"", ""to be asked to work on Y's car""]","[""bored"", ""tired"", ""lazy"", ""over it""]","[""to get the car running better"", ""to do a lot of maintenance on it"", ""to stop telling people he has free time"", ""to find someone else to fix Y's car""]",trn,PersonX is working on PersonY's car,seldomly,single_word
PersonX denies that they want one too,"[""none""]","[""none""]",,"[""evasive"", ""eluding"", ""extravagant"", ""generous""]","[""does not receive the gift"", ""gets left out"", ""none""]","[""none"", ""To not look desperate"", ""To hide his desires""]",,"[""shy"", ""ashamed"", ""Embarrassed"", ""insecure""]",,trn,PersonX wants one too,deny,verb
PersonX has problem with fixing PersonY's wagon,"[""they are stuck where they are"", ""gets accused of betrayal"", ""gets yelled at""]","[""mad at PersonX"", ""hopeless"", ""sad"", ""stranded""]","[""none"", ""to look for a different repair person"", ""to leave the wagon""]","[""frustrated"", ""unskilled"", ""unexperienced""]","[""none"", ""gets shoved aside"", ""gets left behind""]","[""to get someone else to do it"", ""to be lazy"", ""none""]","[""to use the right tools"", ""to know the problem"", ""to go up to wagon"", ""to get tools""]","[""frustrated"", ""worthless"", ""defeated""]","[""to ask for help"", ""to hire a professional"", ""to look for a solution"", ""to try a different method""]",trn,PersonX fixes PersonY's wagon,have problem with,multi_word
PersonX in no way adores PersonY,"[""gets supported"", ""becomes held in high esteem"", ""cries"", ""frowns""]","[""inferior"", ""less than person X"", ""ignored"", ""let down"", ""disappointed""]","[""to ask questions"", ""to give gifts to entice"", ""none""]","[""unfeeling"", ""wild"", ""adamant"", ""avoidant""]","[""gets criticized"", ""gets yelled at"", ""none""]","[""none""]","[""none""]","[""critical"", ""turned off"", ""uninterested"", ""unconcerned""]","[""to hit PersonY"", ""to yell at PersonY"", ""meet someone new"", ""avoid personY""]",trn,PersonX adores PersonY,in no way,multi_word
PersonX resists giving PersonY lessons,"[""gets ignored"", ""left alone"", ""none""]","[""none"", ""disappointed"", ""depressed""]","[""none"", ""to continue to ask for lessons"", ""to find lessons elsewhere""]","[""distracted"", ""unwilling"", ""mean"", ""uncaring""]","[""becomes uncomfortable"", ""gets yelled at"", ""none""]","[""none"", ""to avoid Y"", ""to avoid teaching""]","[""none"", ""to know PersonY"", ""to know how to do something""]","[""sad"", ""unwilling to quit"", ""lonely""]","[""to stop learning"", ""To read a book"", ""to cave in"", ""to give lessons to someone else"", ""to refer PersonX to someone else""]",trn,PersonX gives PersonY lessons,resist,verb
PersonX has trouble with moving back in with PersonX's parents,"[""none""]","[""none"", ""annoyed"", ""irritated""]","[""to get person X out of the house"", ""to help person X get through this"", ""none""]","[""noble"", ""imposing"", ""spelndid"", ""self-satisfied"", ""reluctant"", ""shy""]","[""stresses over shared space"", ""is looked down on"", ""they are nagged""]","[""none""]","[""none"", ""to ask parents to move back"", ""to pack belongings""]","[""upset"", ""frustrated"", ""sad"", ""troubled"", ""bothered""]","[""to get a better job"", ""to look for a new apartment"", ""to beg parents for help"", ""to ask friends for a place to stay""]",trn,PersonX moves back in with PersonX's parents,have trouble with,multi_word
PersonX becomes a unprofessional gamer,"[""none""]","[""none""]","[""none"", ""to encourage person x to spend lots of money"", ""to rob person x before they spend all of the money""]","[""unprofessional"", ""adventurous"", ""a loser"", ""addicted""]","[""gets to relax"", ""naps"", ""none""]","[""to game casually"", ""doesn't want the pressure of competition"", ""none""]","[""none""]","[""content"", ""relaxed"", ""remorseful"", ""regretful""]","[""to be lazy"", ""to go home"", ""to become a prolificate spender"", ""have a lot of friends he can spend lavishly on""]",trn,PersonX becomes a professional gamer,unprofessional,affixes_adj
PersonX resists finding a toy,"[""none""]","[""none""]","[""none""]","[""careless"", ""arrogant"", ""tired"", ""busy""]","[""Person X looks for a different object"", ""Person X will go rest"", ""misses fun"", ""saves money""]","[""to watch tv"", ""to play with the toys he/she has"", ""to eat out"", ""to save""]","[""none""]","[""satisfied"", ""distracted"", ""full"", ""frugal""]","[""to save up money"", ""to stick to their budget"", ""to not have a toy"", ""to do nothing""]",trn,PersonX finds a toy,resist,verb
PersonX forbids themselves from going to a friend's house,"[""does not see PersonX"", ""is avoided"", ""calls a different friend"", ""cries""]","[""sad"", ""disappointed"", ""hopeful their pal will join them next weekend"", ""excited about the get together""]",,"[""self-restrained"", ""cautious"", ""reserved"", ""unsocial"", ""antisocial""]","[""loses a friend"", ""is asked what is wrong"", ""completes their homework"", ""takes a nap""]","[""to stay home"", ""to do something else"", ""to study for the test"", ""to be a responsible student""]",,"[""distant from their friend"", ""lonely"", ""to ace the exam"", ""to celebrate their performance""]",,trn,PersonX goes to a friend's house,forbid,verb
PersonX is in no way following PersonY,"[""none"", ""PersonY moves without PersonX's scrutiny"", ""PersonY is not being followed""]","[""none""]","[""tell personX they feel like they are being followed"", ""try to avoid personX"", ""go without person X"", ""convince person X to follow them""]","[""oblivious"", ""uncaring"", ""methodical"", ""focused""]","[""none""]","[""none""]","[""walking"", ""to be able to see personY"", ""none""]","[""fast"", ""safe"", ""satisfied"", ""ok""]","[""go home"", ""get something to eat"", ""to go in a different direction"", ""compromise with person Y""]",trn,PersonX is following PersonY,in no way,multi_word
PersonX avoids giving PersonY power,"[""none""]","[""powerless"", ""neglected"", ""none""]","[""find another job"", ""get person x fired"", ""none""]","[""fearful"", ""mild"", ""Wary"", ""Cautious""]","[""none"", ""gains new knowledge"", ""gains a freedom""]","[""to be more powerful"", ""to be in charge"", ""none""]","[""to have known person y"", ""to have disliked person y"", ""none""]","[""powerful"", ""heartened"", ""irresponsible""]","[""get person y fired"", ""avoid person y"", ""to speak for themselves"", ""to do their own work""]",trn,PersonX gives PersonY power,avoid,verb
PersonX no longer suits PersonY,"[""has more free time"", ""has one less friend"", ""none""]","[""make partner"", ""make goods"", ""sad"", ""heartbroken""]","[""Person X to stay"", ""to replace person X"", ""to find someone else"", ""call another person""]","[""incompatible"", ""disagreeable"", ""unattractive"", ""uncooperative""]","[""loses a friend"", ""find himself alone"", ""gets broken up with"", ""gets mistreated""]","[""to get a plan"", ""none""]","[""none"", ""to be in a relationship with person y"", ""be around person y""]","[""to get a plan"", ""rejected"", ""brokenhearted""]","[""find someone else"", ""to leave person Y"", ""to find another person to be arond"", ""call someone else""]",trn,PersonX suits PersonY,no longer,multi_word
PersonX prevents themselves from getting a new bike,"[""none""]","[""none""]",,"[""responsible"", ""not fun"", ""uninterested"", ""incurious""]","[""none""]","[""none"", ""to save money"", ""to avoid excessive expenses""]",,"[""sad"", ""unhappy"", ""satisfied"", ""thrifty""]",,trn,PersonX gets a new bike,prevent,verb
PersonX never gives PersonY another chance,"[""none"", ""they're broken up with""]","[""let down"", ""disappointed"", ""none""]","[""apologize"", ""be given a second chance"", ""none""]","[""forgiving"", ""understanding"", ""unforgiving"", ""strict""]","[""loses a friend"", ""has an engagement broken"", ""none""]","[""he has been hurt too much"", ""it costs alot to keep the person"", ""none""]","[""to be stubborn"", ""to have given personY a chance already"", ""none""]","[""bad"", ""heartbroken"", ""tired"", ""like giving up""]","[""avoid personY"", ""find someone else to hang out with"", ""to forgive"", ""to forget""]",trn,PersonX gives PersonY another chance,never,single_word
PersonX avoids placing PersonY's hand,"[""none""]","[""none""]","[""none""]","[""timid"", ""nervous"", ""careful"", ""self-conscious""]","[""none"", ""moves away"", ""steps away""]","[""none""]","[""none""]","[""quick"", ""caring"", ""busy"", ""occupied""]","[""to maintain distance from Y"", ""independence"", ""to avoid mixing feelings"", ""focus on themselves""]",trn,PersonX places PersonY's hand,avoid,verb
