event,split,xAttr,xEffect,oEffect,xReact,oReact,xWant,oWant,xIntent,xNeed,original
PersonX talks to PersonX's father,trn,"[""communicative"", ""respectful"", ""excited""]","[""smiles"", ""complimented"", ""to get sleep from the problems"", ""and wake up earlier""]","[""smiles"", ""laughs"", ""none""]","[""friendly"", ""warm"", ""informed"", ""content""]","[""pleased"", ""thankful"", ""appreciated"", ""sociable""]","[""to ask their father how they are doing"", ""to ask if their father has talked to their mother"", ""to be friends"", ""to understand them""]","[""none""]","[""to speak to family"", ""to speak with others"", ""to get advice"", ""to make conversation""]","[""none""]",PersonX talks to PersonX's mother
PersonX keeps personY awake,trn,"[""loud"", ""obnoxious"", ""inconsiderate""]","[""none""]","[""fall asleep at work"", ""fall asleep at school"", ""will be awake"", ""will not be able to fall asleep""]","[""like a clown"", ""successful"", ""like its fun"", ""happy""]","[""annoyed"", ""frustrated"", ""none""]","[""to study extra time"", ""to meet in person"", ""to seduce persony"", ""to hug persony""]","[""none"", ""to smack personx"", ""to go back to sleep""]","[""to be annoying"", ""to make personY mad"", ""none""]","[""none""]",PersonX helps PersonY sleep
PersonX aquaints himself with PersonY by quietly listening.,trn,"[""curious"", ""respectful"", ""introverted"", ""shy"", ""quiet"", ""silent""]","[""gets thanked for listening"", ""has new knowledge"", ""They learn a lot about personY"", ""They have a wonderful conversation with personY""]","[""none"", ""They feel listened to and heard"", ""They have a very pleasant conversation""]","[""caring"", ""like a good listener"", ""interested"", ""curious""]","[""none"", ""respected"", ""listened to""]","[""to gain wisdom"", ""to know y"", ""to nod"", ""to agree with PersonY""]","[""none"", ""to ask PersonX questions"", ""to thank PersonX for listening""]","[""none"", ""to be closer with person y"", ""to learn more from person y""]","[""none"", ""to go over to PersonY"", ""to lean in""]",PersonX reads PersonY's mind
PersonX teaches PersonY to play the violin,trn,"[""talented"", ""instructive"", ""musical"", ""skillful""]","[""is given payment"", ""gets credit in a speech"", ""gets paid"", ""gets thanked""]","[""none"", ""learns skills"", ""is praised""]","[""skilled"", ""accomplished"", ""happy"", ""excited""]","[""thankful"", ""grateful"", ""none""]","[""to help others"", ""to get paid for that"", ""to enjoy"", ""to be better""]","[""none""]","[""to be helpful"", ""to teach Person Y a skill"", ""none""]","[""none""]",PersonX learns how to play the violin
PersonX hugs someone,trn,"[""loving"", ""creepy"", ""affectionate""]","[""none"", ""gets held back"", ""smiles""]","[""none"", ""embraces being touched"", ""holds back tears""]","[""lovely"", ""contented"", ""full of love"", ""accepting""]","[""none"", ""sexually assaulted"", ""violated""]","[""to go to home"", ""to clean the bike"", ""to be comforted"", ""to make a friend""]","[""none"", ""to help PersonX"", ""to make PersonX feel better""]","[""none"", ""to give people free hugs"", ""to show everyone that they're wanted""]","[""to find someone"", ""to get near to someone"", ""to get close to someone"", ""to know someone""]",PersonX hits someone
PersonX looks away,trn,"[""disgusted"", ""grossed-out"", ""shy"", ""avoidant"", ""unsure""]","[""none"", ""went outside"", ""feel alone""]","[""none""]","[""uncomfortable"", ""sheepish"", ""ashamed"", ""low""]","[""none""]","[""find something more interesting"", ""escape the situation"", ""to avoid confrontation"", ""to enjoy the social gathering""]","[""none""]","[""to avoid a traumatizing scene"", ""to retain plausible deniability"", ""none""]","[""has to see something unpleasant"", ""be bored with something"", ""to be at a party"", ""to spot their ex""]",PersonX gives PersonY a stare
PersonX ignores children,trn,"[""neglectable"", ""inattentive"", ""neglectful"", ""apathetic to kids""]","[""none"", ""gets caught"", ""gets in trouble"", ""gets arrested""]","[""none"", ""gets taken care of"", ""gets right treatments""]","[""self-absorbed"", ""uninterested"", ""grouchy"", ""bitter""]","[""confused"", ""sad"", ""ignored"", ""rejected""]","[""to not be around them"", ""to be happier without kids"", ""to walk away from them"", ""to avoid responsibility""]","[""none""]","[""to avoid responsibility"", ""to remain independent"", ""to keep away from the children"", ""to not be friendly""]","[""none""]",PersonX takes care of children
PersonX makes a mess in the basement.,trn,"[""disorganized"", ""careless"", ""disastrous""]","[""Scolded by mother"", ""Grounded for a week"", ""Sent to their room"", ""forced to clean it up""]","[""none""]","[""remorseful"", ""disgusted"", ""bored"", ""tired""]","[""none""]","[""to clean it up"", ""leave it and go outside and play"", ""clean up"", ""avoid the mess""]","[""to make the child clean up the mess"", ""to cancel person x's allowance"", ""none""]","[""none""]","[""none"", ""go to the basement"", ""avoid cleaning up""]",PersonX cleans the basement
PersonX realizes PersonY remembers PersonX's wallet.,trn,"[""thoughtful"", ""introspective"", ""absent minded"", ""forgetful""]","[""Thanks personY for remembering the lost wallet"", ""Finds the wallet where it has been replaced"", ""none""]","[""Tells personX exactly where to find the wallet"", ""Gives personX clues as to where the wallet can be located"", ""gets asked about the wallet"", ""gets thanked""]","[""Relieved"", ""Happy"", ""excited"", ""considerate""]","[""none""]","[""to ask persony questions"", ""to accuse persony of stealing"", ""bring them the wallet"", ""to save their money""]","[""to reassure personx"", ""to find the wallet"", ""none""]","[""to call PersonY to get their wallet"", ""to be able to buy things"", ""none""]","[""to visit persony"", ""to forget his wallet"", ""none""]",PersonX realizes PersonY forgot PersonX's wallet
PersonX finally left,trn,"[""exhausted"", ""tired"", ""unaware"", ""stubborn""]","[""they have a new life"", ""smiles"", ""laughs""]","[""none""]","[""glad"", ""satisfied"", ""happy"", ""relieved""]","[""none""]","[""to move to a new place"", ""to explore"", ""to be alone"", ""avoid others""]","[""none""]","[""none""]","[""to wake up"", ""take a bath"", ""none""]",PersonX finally arrived
PersonX warns PersonX's boyfriend.,trn,"[""cautious"", ""worried"", ""helpful"", ""paranoid""]","[""gets thanked"", ""heart races"", ""is called a hero"", ""is broken up with""]","[""heart races"", ""face turns read"", ""thoughts race"", ""none""]","[""kind"", ""cautious"", ""worried""]","[""none"", ""grateful"", ""nervous""]","[""to ask their boyfriend if they knew about it"", ""to make sure their boyfriend remains safe"", ""to let them know the warning signs"", ""help their girlfriend""]","[""none"", ""to thank personx"", ""to use caution""]","[""none"", ""to keep someone safe"", ""to help someone escape""]","[""none""]",PersonX surprises PersonX's boyfriend
PersonX closes PersonY's door,trn,"[""isolated"", ""secluded"", ""giving"", ""kind""]","[""relaxes forearm"", ""steps away from door"", ""feels breeze"", ""hears less noise outside""]","[""none""]","[""happy"", ""satisfied"", ""secure"", ""safe""]","[""none""]","[""to make out"", ""to stay indoors"", ""to avoid insects"", ""to arrange the foods""]","[""none""]","[""none""]","[""none""]",PersonX opens PersonY's door
PersonX gets back to weird,trn,"[""abnormal"", ""quirky"", ""unhappy"", ""accepting""]","[""makes people feel uncomfortable"", ""continues to weird out people"", ""none""]","[""none""]","[""strange"", ""odd"", ""offbeat"", ""unique""]","[""none""]","[""to take lsd"", ""to do drugs"", ""to do their thing"", ""be themselves""]","[""none""]","[""none"", ""to be quirky"", ""to make their stance unique""]","[""none""]",PersonX gets back to normal
PersonX loses sight of PersonY,trn,"[""Clumsy"", ""Lazy"", ""irresponsible"", ""careless""]","[""none""]","[""none"", ""they get lost""]","[""unaware"", ""confused"", ""like frowning"", ""reconsidering his actions""]","[""evasive"", ""fast"", ""surprized"", ""like crying""]","[""call y"", ""walk faster"", ""to check the eye"", ""to go to doctor""]","[""none""]","[""none""]","[""none""]",PersonX keeps PersonY in sight
PersonX leaves  PersonY's room,trn,"[""considerate"", ""homesick"", ""gone"", ""away""]","[""none""]","[""is alone"", ""sleeps thereafter"", ""none""]","[""sad"", ""annoyed"", ""restless"", ""stuffy""]","[""none"", ""relieved"", ""spacious""]","[""to connect more with person  y"", ""wants o appologize if he was rude"", ""to shut the door"", ""to drive home""]","[""none"", ""to lock their door"", ""to watch television"", ""to go to bed""]","[""none"", ""to get some air"", ""to walk around""]","[""have prior obligations to leave"", ""get in a fight with person y"", ""to open the door"", ""to say goodbye to PersonY""]",PersonX returns to PersonY's room
Person X puts a picture down,trn,"[""respectful of items' places"", ""bored"", ""careful"", ""cautious""]","[""none"", ""uses the hands"", ""bends the body""]","[""none""]","[""relieved"", ""relaxed"", ""pleased by what they saw"", ""tired of looking at it""]","[""none""]","[""to put it in a frame"", ""to mount it in an album"", ""to make a drawing"", ""to make a list""]","[""none""]","[""to pick up something else"", ""to rest their arm"", ""to leave it where they found it"", ""to stop looking at it""]","[""to find a picture"", ""to pick it up"", ""none""]",PersonX hangs a picture
Person X narrows the distance between Person X and Person Y,trn,"[""strong"", ""capable"", ""fast"", ""competitive""]","[""none"", ""gets happier"", ""stays motivated""]","[""none"", ""tries to run faster"", ""gets tired""]","[""excited"", ""enjoyment"", ""close"", ""wanted""]","[""none""]","[""catch up more"", ""find out information"", ""warm"", ""happy""]","[""talk to them"", ""keep going"", ""none""]","[""none""]","[""find out information"", ""put on shoes"", ""none""]",PersonX bridges the gap between PersonY and PersonY
PersonX wants to go home,trn,"[""bored"", ""fed up"", ""home-sick""]","[""cries"", ""frowns"", ""goes home"", ""sits alone""]","[""none""]","[""tired"", ""exhausted"", ""sleepy""]","[""none""]","[""rest"", ""sleep"", ""to leave"", ""to go home""]","[""none""]","[""none""]","[""none"", ""to be somewhere besides home"", ""be tired of being where he is""]",PersonX wants to hang out
PersonX gives PersonY  a lecture,trn,"[""authoritative"", ""arrogant"", ""Upset"", ""Demanding""]","[""none""]","[""receives a lecture"", ""listens to PErsonX"", ""none""]","[""superior"", ""intelligent"", ""smart"", ""wise""]","[""interested"", ""annoyed"", ""informed"", ""prepared""]","[""to punish persony"", ""to make persony feel sorry"", ""to tell PersonY to leave"", ""to ask PersonY if they have questions""]","[""to yell at personx"", ""to smack personx"", ""to argue their case"", ""to leave""]","[""to share knowledge"", ""to correct y"", ""to flaunt knowledge"", ""to teach them a lesson""]","[""none"", ""to go to PersonY"", ""to witness PersonY act incorrectly""]",PersonX gives PersonY a ride
PersonX is 8 months pregnant,trn,"[""uncomfortable"", ""anxious"", ""female"", ""optimistic"", ""enthusiastic""]","[""has a baby"", ""savings get depleted"", ""they give birth""]","[""none"", ""they also have a child""]","[""uncertain"", ""nervous"", ""tired"", ""excited""]","[""none""]","[""to eat more"", ""to buy gifts"", ""to schedule delivery"", ""to take birthing classes""]","[""none"", ""to be supportive"", ""to ask PersonX what they need""]","[""to have a child"", ""to start a family"", ""none""]","[""none"", ""to have had sex"", ""to go to the doctor""]",PersonX is 9 months pregnant
PersonX steals PersonY's flowers,trn,"[""sneaky"", ""selfish"", ""dishonest"", ""petty""]","[""they are shamed"", ""none""]","[""their garden is made bare"", ""has no flowers"", ""buys new flowers""]","[""bad"", ""mad"", ""successful"", ""happy""]","[""none"", ""frustrated"", ""mad""]","[""give the flowers to someone else"", ""keep the flowers for themselves"", ""enjoy the flowers"", ""return the flowers""]","[""find out what happend and confront person x"", ""buy more flowers"", ""have the flowers returned"", ""receive an apology""]","[""none"", ""to have those flowers"", ""to give those flowers to someone else""]","[""have a reason find taking them"", ""have a place to put the flowers"", ""find the flowers"", ""make a plan""]",PersonX gives PersonY's flowers
PersonX rues the passage of time,trn,"[""powerful"", ""strong"", ""strange"", ""quick""]","[""cries"", ""swears"", ""none""]","[""none""]","[""bored"", ""tired"", ""normal"", ""relaxed""]","[""none""]","[""time to slow down"", ""activities not go by so fast"", ""to attend a meting"", ""to grab the keys""]","[""none""]","[""none""]","[""none"", ""to have more time"", ""to be free""]",PersonX celebrates the new year
PersonX plays video games,trn,"[""Skilled"", ""Creative"", ""Nerdy"", ""engaged"", ""focused"", ""interested""]","[""none""]","[""none""]","[""playful"", ""relaxed"", ""satisfied""]","[""none""]","[""to relax"", ""to have fun"", ""to beat their level"", ""to get a new console""]","[""none""]","[""none""]","[""none""]",PersonX cleans PersonY's room
PersonX does what PersonY hates,trn,"[""inconsiderate"", ""oblivious"", ""careless"", ""self absorbed""]","[""none""]","[""angry"", ""annoyed"", ""none""]","[""angry"", ""vindicated"", ""rude"", ""irresponsible""]","[""upset"", ""surprised"", ""none""]","[""offer an apology"", ""avoid the behavior in the future"", ""to be a good friend"", ""to maintain the friendship""]","[""get away from personX"", ""receive an apology"", ""none""]","[""independence"", ""revenge"", ""none""]","[""none"", ""to talk to person y"", ""to solve the problem""]",PersonX does what PersonY loves
